,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,56.5,56.9,58.2,59.4,62.6,64.5,62.8,63.5,60.3,61.5,73.4,68.7,68.8,68.5,68.1,70.2,59.8,49.7,48.1,38.2,50.9,50.0,47.9,44.4,47.3,44.6,51.8,46.8,47.1,43.6,40.6
21,Consumer expenditure,138283.8,146760.8,145114.0,149779.3,144830.5,139700.9,154953.5,148672.3,150576.7,151546.7,151895.8,155646.5,154757.7,155221.5,157963.7,154294.6,151745.3,148729.4,149790.8,146017.6,155119.4,136247.9,144258.0,146534.9,133954.2,137986.8,140551.3,139057.5,143544.9,142648.6,127914.3
22,"Products of agriculture, hunting and related services",7389.3,7424.5,7375.4,6989.9,7471.5,7438.2,7625.8,6794.6,7036.7,7154.9,6442.8,6325.6,6435.0,7183.8,7139.1,7039.6,6818.2,6627.9,6481.9,6371.4,6426.1,6534.0,6478.5,6252.6,6834.2,7108.5,7500.2,7590.5,7734.9,8044.4,
23,"Products of forestry, logging and related services",46.3,46.5,47.0,47.4,48.9,49.4,49.3,50.0,49.9,50.5,49.7,47.4,46.1,45.2,41.8,51.5,48.1,58.7,42.7,41.2,39.8,41.1,46.9,49.4,60.0,68.8,83.5,83.9,84.2,89.6,
24,Fish and other fishing products; aquaculture products; support services to fishing,936.4,959.1,988.5,1043.7,1063.1,1108.1,1074.8,1053.7,1093.2,992.7,893.6,881.1,825.9,779.2,797.2,790.2,736.3,745.3,720.0,696.2,733.9,717.1,753.9,747.8,896.1,846.9,831.9,850.0,807.5,713.1,
25,Mining of coal and lignite,1319.1,1234.1,1196.8,998.5,914.2,836.6,783.0,772.4,661.1,648.9,652.0,683.7,634.9,646.0,633.9,566.6,550.7,561.6,558.9,458.1,453.8,387.5,350.9,292.0,304.2,297.0,301.6,304.6,284.8,208.8,
26,Crude petroleum and natural gas,17319.2,17478.7,18135.8,19695.7,22319.1,23409.5,25827.1,25879.0,26821.7,26674.1,26094.3,26518.6,27290.6,25184.2,24490.5,24169.9,22416.7,21834.9,20775.8,20393.5,20379.3,18594.2,17223.2,17065.4,16773.0,18435.8,17939.4,18005.9,17906.3,18336.0,
27,Mining of metal ores,24.6,23.3,23.4,23.7,24.7,25.3,16.6,15.3,14.6,14.2,13.9,13.4,12.7,12.2,12.3,11.1,10.6,10.6,9.2,6.8,6.0,4.8,5.3,4.0,4.0,4.1,3.8,4.1,3.9,3.4,
28,Other mining and quarrying products,1987.4,1945.5,1924.3,1772.5,1718.9,1633.8,1639.5,1553.9,1485.5,1393.7,1814.6,1731.4,1319.5,1277.9,1185.2,1280.0,1076.1,1197.9,1604.7,1525.0,1567.9,987.0,759.5,636.9,835.4,901.4,1027.7,1244.6,1167.1,913.9,
29,Mining support services,1365.2,1349.5,1447.3,1544.8,1642.9,604.8,631.6,635.6,656.3,225.3,151.4,121.2,159.7,145.8,139.5,130.9,93.9,84.8,75.9,183.0,93.7,86.8,148.2,152.8,248.1,131.0,234.3,234.6,226.7,216.0,
