,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
88,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,2159.3,2378.7,2352.9,2484.8,3103.0,4269.9,4597.4,2854.4,3096.0,3306.7,3415.0,3687.5,3326.0,4189.7,3442.7,3709.1,3265.2,2961.8,3013.0,2969.2,3243.2,2833.7,2303.1,2251.4,2269.2,2455.5,2695.6,2636.7,2515.8,2548.0,
89,Natural water; water treatment and supply services,401.4,517.6,482.9,463.4,465.4,445.0,641.1,499.4,900.1,855.0,1104.7,1396.5,894.9,729.6,999.4,1079.1,1031.5,954.5,794.0,797.0,864.9,782.8,779.2,791.6,764.4,773.8,889.0,882.9,904.6,885.5,
90,Sewerage services; sewage sludge,348.1,355.7,354.8,327.6,369.3,374.6,377.0,372.0,404.0,398.2,348.0,342.3,345.4,386.4,378.3,338.6,337.2,320.6,317.4,309.8,331.5,332.6,326.6,306.3,312.6,330.6,358.6,380.1,383.5,371.3,
91,"Waste collection, treatment and disposal services; materials recovery services",3502.8,4255.6,4296.9,4010.6,3656.6,3480.7,3515.8,2546.7,4300.5,2539.2,2603.3,2351.5,2454.2,2349.6,2312.3,2744.9,2508.6,2561.8,2153.8,2020.4,2102.1,2137.6,2174.7,2253.5,2441.9,2704.6,2952.4,3253.5,3278.7,3284.8,
92,Remediation services and other waste management services,3.1,3.1,3.2,3.3,3.5,3.6,3.7,3.7,3.8,4.0,4.1,4.2,4.2,4.5,4.8,4.9,5.1,5.4,5.8,4.9,5.1,4.9,5.4,4.8,4.9,5.2,5.2,5.2,5.0,4.8,
93,Buildings and building construction works,1912.7,1932.2,1949.7,1998.7,2088.9,2138.0,2215.1,2258.0,2307.7,2381.9,2424.3,2454.2,2452.6,2539.7,2631.2,2623.8,2621.0,2674.6,2623.3,2292.8,2333.1,2168.6,2292.0,2139.5,2164.5,2290.4,2356.7,2431.0,2459.4,2390.3,
94,Constructions and construction works for civil engineering,4914.0,4819.4,4861.1,4890.4,5099.6,5100.9,5164.8,5260.2,5360.3,5363.4,5417.7,5607.6,5666.5,5655.7,5910.9,5807.7,5931.0,5997.5,6270.7,5310.7,5177.5,4800.5,5203.8,4627.0,4898.4,5592.4,5684.8,6062.4,6212.4,5947.2,
95,Specialised construction works,2525.9,2582.0,2638.4,2706.6,2858.4,2943.3,3109.8,3254.7,3377.7,3568.8,3681.1,3791.6,3807.1,3975.5,4186.7,4340.2,4471.8,4724.1,4687.1,4416.9,4597.6,4520.1,4603.5,4571.8,4719.6,4909.1,5222.7,5266.2,5280.7,5209.3,
96,Wholesale and retail trade and repair services of motor vehicles and motorcycles,2091.7,2181.2,2136.0,2172.2,2224.0,2246.0,2268.6,2214.4,2231.7,2297.5,2314.0,2245.3,2133.9,2182.8,2166.2,2186.7,2159.8,2278.2,2273.4,2078.1,2098.2,2035.7,2049.4,1995.0,1989.8,2036.0,2124.3,2076.6,2031.5,2006.0,
97,"Wholesale trade services, except of motor vehicles and motorcycles",6008.3,6126.5,6056.8,6126.1,6321.4,6364.7,6410.0,6280.0,6310.1,6387.2,6333.1,6055.8,5770.4,5801.2,5701.6,5646.2,5618.3,5781.5,5906.6,6104.9,6466.8,6258.2,6273.4,6070.4,6152.7,6339.7,6564.1,6472.4,6368.2,6252.7,
98,"Retail trade services, except of motor vehicles and motorcycles",3401.0,3578.9,3511.4,3656.2,3781.0,3853.7,4017.2,3942.0,4072.5,4195.9,4228.3,4174.9,3978.4,4119.2,4112.0,4093.9,4044.1,4052.0,4297.9,4208.9,4112.3,3927.5,4078.3,4059.9,3957.1,4132.2,4296.1,4253.4,4246.3,4204.1,
99,Rail transport,1763.9,1804.0,1824.1,1774.9,1728.5,1816.4,1917.4,1996.6,2114.0,2057.6,2079.5,2149.2,2124.1,2159.5,2251.1,2276.2,2318.6,2423.6,2400.3,2341.3,2371.3,2270.9,2327.7,2332.5,2378.7,2333.5,2323.4,2303.6,2205.6,2103.0,
100,"Buses, coaches, trams and similar public urban transport n.e.c",5756.0,5892.5,5831.8,5843.0,5940.2,6033.9,6115.0,6148.6,6038.7,5909.5,5584.4,5449.2,5449.9,5550.8,5352.3,5346.3,5463.1,5576.7,5101.2,5029.1,5157.0,4771.4,4554.4,4640.1,4675.2,4523.0,4368.7,4186.1,4069.5,3908.4,
101,"Underground, metro other non interurban rail services",478.4,460.6,471.4,483.6,511.1,530.6,564.3,544.2,559.2,554.7,485.3,488.8,389.4,43.2,29.6,22.8,19.3,18.1,16.7,12.6,12.4,10.1,10.7,8.2,8.2,8.1,8.9,8.7,8.9,8.6,
102,Taxis and other renting of private cars with driver,1546.1,1658.9,1763.8,1797.3,1846.1,1858.8,1937.3,2011.1,2082.9,2138.8,2201.9,2232.0,2280.0,2309.9,2336.8,2394.2,2464.6,2560.1,2648.3,2726.5,2771.3,2785.5,2784.6,2776.6,2890.6,3009.4,3206.8,3406.0,3462.1,3460.9,
103,Freight transport by road and removal services,12972.7,12485.7,12451.5,12864.5,13389.7,13251.6,13723.8,14131.9,14062.3,13862.8,13628.2,13419.2,13596.6,13627.1,13777.6,13665.9,13692.7,13881.4,12854.3,11067.4,11328.5,11016.2,10855.9,10889.3,11189.4,11587.9,11983.0,12127.8,12256.8,12066.7,
104,Transport via pipeline,8.3,8.2,8.1,8.3,8.7,8.7,8.6,8.6,8.5,8.6,8.5,8.0,7.6,7.6,7.5,7.5,7.5,7.8,7.8,7.0,7.3,7.3,7.4,7.4,7.6,8.0,8.5,8.5,8.5,8.5,
105,Water transport services,19242.6,20951.9,20267.4,19278.9,19526.6,20301.6,23274.7,22460.7,22317.1,20059.3,19287.1,23562.0,25608.9,26484.9,29407.9,28929.6,20271.2,20195.0,20176.8,17351.5,18112.4,19419.0,15768.9,13148.0,15896.5,16954.0,17433.8,11061.1,14988.0,10862.8,
106,Air transport services,20219.4,19172.3,20904.6,22697.0,22681.4,24576.7,26349.8,27930.6,31264.0,33704.2,37186.9,36556.1,35728.0,36962.0,39165.1,42505.4,43202.6,43720.4,43271.1,41113.4,40005.6,42008.4,40541.0,40288.5,40280.6,40776.5,40480.3,43093.8,45270.4,42435.2,
107,Warehousing and support services for transportation,1269.4,1301.0,1271.8,1312.4,1271.1,1269.3,1275.1,1175.1,1147.4,1175.8,1163.8,1069.0,1004.8,1020.7,1038.6,1086.6,1196.5,1189.8,1190.8,1026.1,1024.1,1007.8,1009.5,998.2,1033.5,1105.0,1134.1,1158.1,1186.9,1188.0,
108,Postal and courier services,1122.5,1152.4,1157.0,1184.6,1231.7,1241.7,1276.7,1288.0,1305.0,1319.4,1314.7,1285.4,1261.0,1281.5,1277.0,1369.0,1293.7,1328.1,1494.6,1419.8,1601.7,1557.2,1558.4,1565.9,1597.1,1659.1,1739.6,1752.3,1766.8,1743.7,
109,Accommodation services,848.8,997.7,931.3,994.8,987.0,1023.0,1090.2,969.4,1039.0,1101.7,1120.0,1119.3,950.3,1008.2,973.2,954.9,869.7,830.3,1021.1,811.9,875.2,761.8,869.1,890.5,770.4,835.8,860.2,854.4,875.4,871.8,
110,Food and beverage serving services,1908.1,2211.5,2075.7,2202.9,2196.2,2276.9,2421.6,2176.3,2326.0,2475.7,2544.4,2566.8,2204.8,2361.3,2322.5,2341.8,2187.7,2161.9,2675.2,2193.0,2394.0,2143.3,2430.8,2491.5,2202.6,2382.2,2461.5,2438.3,2482.1,2472.1,
111,Publishing services,156.9,180.2,167.3,175.4,172.9,175.8,184.6,163.5,170.3,174.8,170.2,163.5,135.5,135.4,123.7,114.7,100.1,90.1,96.6,74.3,72.9,61.8,62.8,59.9,52.4,53.5,53.6,51.6,51.1,49.9,
112,"Motion picture, video and television programme production services, sound recording and music publishing",98.9,114.3,109.3,117.4,119.6,126.0,135.0,124.5,134.1,145.7,150.6,152.0,135.1,144.7,142.8,143.6,135.9,135.3,159.9,131.4,139.5,128.8,139.1,135.5,123.1,128.4,132.0,125.7,122.4,121.4,
113,Programming and broadcasting services,21.2,24.2,23.2,24.7,25.1,26.2,27.6,25.2,26.5,28.3,28.5,28.1,24.1,24.6,23.2,22.0,19.6,18.2,19.9,15.0,15.0,12.9,13.4,12.5,11.0,11.2,11.2,10.6,10.4,10.0,
114,Telecommunications services,509.4,525.7,519.7,530.4,550.1,559.8,545.6,526.9,519.0,532.2,523.3,478.4,436.7,425.1,402.7,400.8,374.2,373.6,393.2,339.5,352.6,337.5,334.5,314.2,305.5,308.4,317.0,301.0,288.0,284.0,
115,"Computer programming, consultancy and related services",254.2,274.2,277.9,294.9,315.3,333.4,340.5,336.2,349.1,374.1,384.8,373.3,345.1,353.2,347.0,348.8,336.3,337.3,356.5,300.6,304.6,288.2,292.6,276.1,261.3,267.0,274.9,261.9,253.2,250.7,
116,Information services,23.6,26.0,26.1,28.5,28.1,28.5,30.6,28.3,29.9,31.9,32.8,33.0,28.7,30.3,29.9,30.3,29.0,28.6,34.1,27.4,29.2,26.4,28.7,28.4,25.4,26.8,27.2,26.3,26.0,25.7,
117,"Financial services, except insurance and pension funding",129.5,139.2,129.1,133.9,124.2,121.6,120.6,98.7,95.3,98.3,93.8,95.1,74.3,74.8,70.5,70.8,64.2,61.1,70.0,54.6,57.5,51.3,54.1,53.3,47.3,49.3,49.1,46.6,45.8,44.6,
118,Insurance & Reinsurance,26.4,30.2,28.8,30.5,31.1,32.4,33.8,31.1,32.9,34.9,35.3,34.1,29.7,30.9,29.5,28.7,26.5,25.6,30.3,24.3,25.7,23.1,25.2,25.0,22.2,23.4,24.2,23.4,23.3,23.2,
119,Pension funding,0.3,0.4,0.4,0.4,0.6,0.9,1.2,1.4,1.0,0.8,0.8,0.8,0.6,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,
120,Services auxiliary to financial services and insurance services,159.7,179.2,172.4,181.4,186.3,193.6,199.1,185.4,193.8,205.0,206.9,198.3,174.3,179.2,171.2,163.8,151.3,149.8,169.8,137.8,144.1,131.3,141.5,138.3,124.2,130.0,134.1,128.8,126.9,126.5,
121,"Buying and selling of own real estate: renting and operating of own or leased real estate, excluding imputed rent",416.4,483.8,460.8,492.5,503.7,528.7,563.4,521.5,566.0,610.2,628.3,632.7,564.3,611.6,607.9,617.2,592.1,584.9,718.2,600.9,651.1,590.5,663.1,677.3,603.4,645.9,667.2,655.5,661.9,657.9,
122,Real estate activities on a fee or contract basis,210.6,220.8,218.0,224.8,232.4,238.4,237.6,229.7,232.6,245.3,249.8,240.3,221.8,231.0,231.1,238.5,236.2,242.1,281.6,242.1,260.6,246.4,270.4,270.0,249.6,265.8,277.3,271.6,272.0,272.7,
123,Legal activities,270.3,291.6,282.1,293.3,297.8,304.3,301.2,277.7,278.5,289.0,284.9,265.6,226.9,224.1,208.2,199.7,180.5,171.8,189.7,149.5,153.3,136.8,144.6,140.6,124.3,129.7,132.1,126.7,125.3,123.9,
124,"Accounting, bookkeeping and auditing activities: tax consultancy",252.2,275.5,265.7,277.4,280.4,286.5,288.7,264.9,270.4,281.8,278.5,259.9,221.7,219.4,202.8,192.3,171.6,160.8,174.2,134.8,135.0,119.3,122.7,116.6,102.9,106.1,106.8,101.4,99.0,97.2,
125,Services of head offices; management consulting services,584.4,650.6,625.4,657.1,671.4,694.7,707.6,657.8,683.2,722.8,730.1,700.3,619.2,641.2,624.3,627.2,599.6,603.0,713.6,591.2,633.9,588.8,640.6,633.1,574.0,603.2,620.8,594.6,583.5,578.5,
126,Architectural and engineering services; technical testing and analysis services,521.3,555.6,542.8,563.7,575.7,589.7,588.3,555.8,562.5,590.4,593.8,562.3,505.0,508.7,492.4,483.7,463.2,460.0,501.8,403.8,415.1,384.2,403.4,373.6,351.8,364.7,371.3,356.0,344.7,338.7,
127,Scientific research and development services,248.4,286.8,270.7,287.2,287.5,296.1,312.5,282.9,299.4,313.9,313.9,307.0,264.6,274.5,262.0,254.2,232.9,223.0,262.6,214.3,228.3,203.2,227.1,233.5,208.9,226.2,235.9,237.1,243.9,244.0,
128,Advertising and market research services,128.2,136.1,135.3,140.9,147.9,153.8,152.6,146.5,147.2,155.0,156.3,146.1,130.5,129.1,122.6,120.1,113.0,112.4,118.3,97.1,98.2,94.6,95.0,86.9,83.9,84.8,88.1,81.8,76.2,76.6,
129,"Other professional, scientific and technical services",153.1,168.3,164.9,173.8,182.5,192.2,195.9,186.0,191.7,204.8,208.8,201.9,180.4,185.5,179.6,178.6,170.3,168.9,191.3,154.9,160.8,151.0,156.2,147.4,136.9,139.6,143.5,134.1,127.8,126.6,
130,Veterinary services,57.8,62.0,60.8,63.3,65.3,68.3,69.1,66.7,69.4,72.5,72.7,69.8,64.0,65.7,64.3,65.7,63.0,64.6,68.0,60.9,63.4,60.9,63.6,63.8,62.1,65.0,68.1,68.5,69.6,67.0,
131,Rental and leasing services,998.6,1020.7,1026.7,1045.4,1089.6,1101.7,1128.2,1141.6,1156.2,1171.9,1174.7,1149.9,1128.2,1145.9,1145.6,1226.2,1255.2,1276.7,1219.5,1106.0,1098.5,1067.6,1073.8,1057.2,1079.7,1118.5,1172.1,1173.1,1173.1,1154.4,
132,Employment services,281.5,294.8,290.4,299.7,311.5,319.2,318.0,299.3,291.6,295.8,287.4,268.1,229.3,221.3,206.8,201.1,185.3,178.5,187.9,152.8,156.1,143.5,148.0,144.5,134.6,140.6,144.0,140.9,140.1,138.1,
133,"Travel agency, tour operator and other reservation services and related services",120.0,126.9,124.1,127.7,131.2,133.7,134.7,129.2,130.4,134.9,135.5,130.2,119.9,122.4,121.1,123.7,122.6,127.9,137.3,123.3,128.6,128.9,132.8,126.8,127.1,131.2,139.3,134.8,131.7,134.6,
134,Security and investigation services,164.5,177.1,178.0,187.1,195.1,200.9,208.0,205.4,210.8,218.5,220.5,215.7,203.3,206.9,202.7,200.8,195.0,191.8,196.5,167.7,168.5,158.3,157.1,151.0,145.8,148.4,153.2,148.6,146.0,143.7,
135,Services to buildings and landscape,687.0,749.6,732.0,766.6,773.7,789.7,819.7,778.6,807.7,840.0,849.2,840.7,777.5,808.4,800.7,807.5,794.1,802.5,890.9,792.7,837.7,808.8,850.3,851.4,826.6,863.0,898.8,889.2,890.3,886.2,
136,"Office administrative, office support and other business support services",359.2,391.2,389.9,410.0,434.6,455.8,476.3,471.2,493.8,524.6,542.3,545.1,518.3,552.0,560.1,578.1,577.4,592.2,672.4,587.8,629.2,602.7,644.1,647.8,620.3,656.1,690.5,684.6,689.0,689.8,
137,Public administration; compulsory social security services,4845.6,5114.0,5432.7,5602.6,5152.3,5274.0,5262.3,5010.0,5219.8,5482.2,5432.4,5609.0,5196.6,5432.1,5704.1,4677.2,4219.2,3952.4,3886.6,3507.2,3535.5,3134.2,3315.4,3039.3,2730.5,2784.2,2805.1,2763.2,2905.5,2685.5,
138,Public defence services,5962.4,5008.1,4832.0,4874.6,4688.8,4671.8,4539.4,4411.0,3830.6,3760.0,3663.8,3438.8,3486.4,3579.9,3437.0,3140.7,3690.6,3948.9,3473.0,3144.4,3080.4,2904.2,2668.8,2420.8,2140.7,1779.3,1655.6,1692.6,1736.9,1827.0,
139,Education services,5464.7,5792.4,5936.3,5042.2,4507.8,4242.7,5309.9,5966.6,5250.5,4987.1,4638.1,4282.1,3654.8,3670.1,3634.3,3579.7,3784.9,3439.2,3250.1,3042.9,3249.1,2643.3,2940.8,2867.5,2471.3,2622.4,2577.8,2638.6,2683.2,2406.2,
140,Human health services,3807.5,4011.6,4219.6,4102.6,4192.6,4207.3,4457.1,3302.3,3508.6,3305.5,2981.8,3202.9,2684.1,2487.9,3028.0,3681.4,2910.2,2930.4,3418.9,3415.7,3701.3,3283.2,3559.1,3947.0,3523.1,3318.1,3449.9,3191.5,3468.5,3142.7,
141,Residential care services,894.4,959.4,1065.0,980.2,959.5,870.3,999.6,1103.1,1043.4,920.9,751.2,791.5,485.8,369.2,388.8,553.5,526.3,515.8,522.8,453.6,476.1,440.0,549.2,582.8,502.8,594.5,630.1,656.7,759.5,688.6,
142,Social work services without accommodation,501.2,554.7,600.6,485.3,485.1,497.8,611.4,864.9,812.4,740.8,624.6,683.0,481.6,385.0,425.9,607.5,588.4,562.2,554.2,531.6,529.5,466.1,612.7,663.4,562.1,667.5,710.9,742.0,862.6,781.2,
143,"Creative, arts and entertainment services",273.2,285.2,255.8,286.3,308.7,305.0,318.2,271.1,296.6,242.4,231.6,285.6,224.9,219.8,214.3,221.1,160.6,147.8,163.3,150.1,131.9,121.0,121.8,117.3,109.2,111.9,113.6,109.0,107.3,106.5,
144,"Library, archive, museum and other cultural services",308.2,302.2,238.3,257.5,239.4,201.3,210.0,171.5,170.1,116.4,107.5,102.3,81.5,77.8,74.7,87.0,61.4,53.9,59.5,63.5,46.3,42.2,42.9,42.2,38.5,40.7,41.5,40.4,41.5,41.2,
145,Gambling and betting services,384.7,391.0,323.8,346.3,320.6,282.6,291.2,249.8,260.7,220.5,215.8,204.8,166.5,163.8,152.9,158.5,124.7,112.6,122.5,108.9,94.3,84.2,85.9,83.6,74.6,77.5,78.1,75.9,76.0,74.6,
146,Sporting services and amusement and recreation services,1249.4,1299.4,1107.2,1193.8,1157.2,1079.3,1162.9,1005.7,1072.2,946.7,936.0,915.3,778.0,796.7,772.2,811.5,691.9,654.3,757.4,692.0,644.6,587.2,636.2,640.8,583.3,623.5,642.8,640.8,650.3,647.0,
147,Services furnished by membership organisations,408.6,460.6,449.1,478.6,461.0,471.3,506.6,452.0,468.0,471.1,490.7,464.8,382.5,386.4,361.9,380.0,300.0,280.4,332.6,261.0,276.7,239.5,266.6,271.8,234.3,252.7,256.6,253.0,259.4,255.1,
148,Repair services of computers and personal and household goods,87.5,88.7,87.1,88.8,92.0,93.1,94.0,92.3,91.4,92.9,91.8,86.6,81.1,79.5,76.4,73.4,70.4,68.2,67.2,68.1,61.9,58.8,58.7,57.6,57.1,59.5,62.1,62.1,62.9,62.9,
149,Other personal services,547.9,599.9,581.0,604.2,617.6,635.3,662.8,624.1,652.9,683.4,690.2,682.6,620.2,649.0,636.7,649.0,667.8,607.6,718.0,609.7,609.3,562.9,600.9,604.0,562.7,593.6,616.4,608.1,610.7,606.2,
150,Services of households as employers of domestic personnel,56.5,56.9,58.2,59.4,62.6,64.5,62.8,63.5,60.3,61.5,73.4,68.7,68.8,68.5,68.1,70.2,59.8,49.7,48.1,38.2,50.9,50.0,47.9,44.4,47.3,44.6,51.8,46.8,47.1,43.6,
151,Consumer expenditure - not travel,79191.8,88022.7,85405.5,89674.5,85573.8,81398.6,93000.6,85760.4,87810.9,87725.5,88256.6,90750.8,87471.4,88487.0,90200.5,86023.0,83477.7,80018.1,82443.4,79576.3,90291.8,72289.0,79980.4,81962.1,69102.8,72547.9,74443.7,72350.4,76783.4,76163.0,
152,Consumer expenditure - travel,59092.0,58738.1,59708.4,60104.8,59256.6,58302.3,61952.9,62911.9,62765.7,63821.1,63639.2,64895.7,67286.3,66734.5,67763.3,68271.6,68267.7,68711.3,67347.4,66441.4,64827.6,63958.8,64277.6,64572.8,64851.4,65438.9,66107.6,66707.1,66761.4,66485.6,
