,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
79,Other manufactured goods,898.5,1179.7,864.5,688.0,672.1,593.3,667.8,608.5,646.2,765.9,684.2,842.7,615.1,1017.4,865.2,800.2,731.1,658.7,498.7,506.8,596.5,543.3,518.6,512.9,515.8,527.3,585.3,595.1,627.7,614.8,
80,Repair & maintenance of ships,13.7,14.3,13.9,14.3,14.7,14.9,15.3,14.8,15.1,15.3,15.2,14.8,13.9,14.0,13.8,13.3,12.9,12.7,12.8,12.0,11.5,10.8,11.7,10.8,10.9,11.5,11.8,12.1,12.2,12.0,
81,Repair & maintenance of aircraft  & spacecraft,35.6,41.4,39.0,41.5,42.0,43.7,46.6,42.5,45.6,48.4,49.0,48.5,42.6,45.0,43.7,42.8,39.9,38.9,45.8,38.4,40.2,36.5,40.4,40.2,36.6,38.8,40.2,39.6,39.9,39.7,
82,Rest of repair; Installation,366.3,381.0,371.2,382.8,392.2,395.1,406.7,394.9,401.3,405.4,401.9,391.3,369.2,372.2,361.2,348.0,334.9,324.8,326.6,320.3,301.2,283.3,287.1,284.1,278.6,287.8,297.0,294.2,293.9,289.8,
83,Electricity production - gas,2191.7,2313.8,2839.3,14911.6,21127.4,26200.9,34386.6,43063.7,44972.0,53663.8,53452.0,52085.2,54712.1,53457.9,57165.4,55408.4,52047.6,59043.0,63658.2,60543.7,63560.1,50995.0,34007.9,32363.8,35034.7,34392.7,50338.5,47912.4,45858.6,45629.5,
84,Electricity production - coal,188877.9,189585.0,177313.5,147576.8,139409.7,131751.6,124031.7,106572.7,110010.2,92939.0,104576.5,116360.4,109739.1,120128.8,116418.5,118947.5,130550.9,119794.4,109552.5,90884.5,94993.4,95413.5,126830.4,119683.9,94977.7,77624.4,38257.5,30631.6,27341.5,20029.8,
85,Electricity production - nuclear,49.3,50.8,48.0,52.8,55.3,49.2,53.5,77.5,73.4,83.5,78.9,78.5,78.2,79.6,91.3,87.8,101.6,94.4,103.5,87.6,91.1,79.8,83.7,83.4,106.4,96.5,94.5,91.4,90.4,99.5,
86,Electricity production - oil,13320.9,9114.0,8779.6,8898.7,6557.7,6024.6,5265.4,1280.5,718.8,1075.0,1027.2,1353.7,866.6,818.6,628.9,1139.8,1431.8,608.9,1107.3,604.6,271.5,157.4,168.6,144.5,157.9,139.7,138.2,129.2,122.9,124.6,
87,Electricity production - other,746.8,776.8,965.3,1207.4,1679.7,1811.2,1908.9,2348.4,3155.3,3581.8,4058.8,4609.2,4826.8,5224.1,5730.0,5882.9,6124.6,6513.5,7231.4,8072.5,8380.1,8386.0,9053.5,9041.8,10026.8,11928.6,13646.9,13677.3,15039.1,16658.2,
88,Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,11980.2,12050.5,11903.8,11708.4,12061.0,13122.9,13013.6,10192.2,10027.9,9832.0,9717.6,9624.3,9053.3,9669.1,9116.2,9354.6,8584.0,8256.3,8017.4,7866.6,8019.1,7350.8,6671.1,6433.2,6160.9,6204.1,6356.4,6219.6,5955.0,5853.5,
89,Natural water; water treatment and supply services,404.3,520.8,486.0,466.4,468.3,447.8,644.4,502.3,904.2,859.1,1109.6,1402.5,899.7,733.7,1004.7,1084.8,1037.3,960.5,799.6,802.7,871.1,789.0,785.7,798.3,771.2,780.6,896.4,890.3,912.1,893.0,
90,Sewerage services; sewage sludge,3191.9,3194.4,3303.6,3282.8,3301.8,3196.6,3225.1,3434.1,3365.9,3362.2,3302.6,2348.0,2438.8,2538.4,2551.3,2567.9,2907.6,3002.7,2827.5,2764.8,2757.6,2789.3,2717.2,2713.6,2814.5,2755.4,2651.3,2839.0,2731.5,2780.1,
91,"Waste collection, treatment and disposal services; materials recovery services",64000.8,65396.4,65555.1,65831.1,66045.2,67040.7,67351.5,66178.4,67002.4,62553.4,60198.9,58808.8,57833.1,54120.1,49854.6,47810.0,44365.4,41286.6,36612.2,32835.0,28550.6,26790.7,25715.8,23252.9,21530.1,21529.4,21460.5,22248.8,22645.8,22532.4,
92,Remediation services and other waste management services,3.2,3.2,3.2,3.4,3.5,3.6,3.7,3.7,3.8,4.0,4.2,4.3,4.3,4.6,4.9,5.1,5.3,5.7,6.1,5.2,5.5,5.3,6.0,5.3,5.4,5.7,5.7,5.9,5.5,5.4,
93,Buildings and building construction works,1942.1,1961.1,1978.5,2027.6,2119.1,2169.1,2245.9,2289.3,2339.9,2415.2,2459.1,2490.4,2491.1,2581.2,2677.0,2673.1,2673.3,2730.2,2681.0,2350.0,2392.0,2228.5,2353.2,2198.4,2226.3,2351.9,2418.5,2496.1,2524.1,2453.8,
94,Constructions and construction works for civil engineering,4987.3,4889.8,4930.7,4959.8,5171.2,5173.4,5236.0,5331.8,5432.7,5436.3,5492.3,5683.5,5745.0,5736.7,5998.3,5898.1,6026.2,6098.8,6369.9,5399.0,5268.5,4888.0,5298.3,4713.2,4988.2,5687.4,5781.1,6161.9,6311.5,6041.8,
95,Specialised construction works,2569.5,2625.2,2681.7,2750.1,2903.9,2990.7,3156.7,3302.9,3428.0,3621.5,3737.4,3850.7,3871.0,4045.7,4265.9,4428.0,4568.6,4831.8,4801.0,4530.3,4714.9,4642.5,4727.1,4696.0,4846.1,5035.9,5349.7,5393.7,5403.8,5331.5,
96,Wholesale and retail trade and repair services of motor vehicles and motorcycles,2121.2,2213.3,2169.2,2207.2,2262.9,2289.2,2311.3,2259.0,2276.5,2346.4,2367.0,2298.1,2192.2,2247.5,2233.2,2261.6,2250.3,2379.3,2380.5,2187.4,2218.7,2153.9,2161.2,2112.0,2108.4,2148.4,2234.4,2180.2,2129.0,2099.3,
97,"Wholesale trade services, except of motor vehicles and motorcycles",6112.3,6229.5,6161.4,6232.5,6437.6,6510.9,6588.9,6510.3,6606.7,6767.2,6803.1,6603.8,6406.8,6535.2,6538.6,6580.8,6662.5,6938.4,7161.1,7442.7,7813.5,7536.1,7560.2,7335.6,7383.5,7532.8,7796.9,7771.1,7677.9,7399.8,
98,"Retail trade services, except of motor vehicles and motorcycles",3449.5,3626.9,3559.7,3705.8,3835.8,3927.5,4149.9,4186.6,4482.4,4800.4,5039.2,5195.0,5218.8,5598.9,5837.0,6042.5,6239.0,6489.0,6920.3,6993.0,7131.0,7207.4,7502.3,7506.3,7324.9,7331.4,7273.9,6967.5,6715.6,6556.9,
99,Rail transport,1787.1,1827.5,1847.9,1798.1,1750.8,1839.5,1941.3,2021.3,2139.6,2082.3,2104.3,2174.4,2148.6,2184.2,2276.6,2302.1,2345.4,2451.5,2428.1,2368.6,2399.3,2298.3,2356.4,2361.7,2408.8,2363.5,2353.7,2333.9,2235.0,2131.2,
100,"Buses, coaches, trams and similar public urban transport n.e.c",5834.6,5971.7,5910.4,5921.4,6018.0,6110.5,6188.3,6218.3,6103.5,5970.2,5640.5,5502.5,5500.5,5599.9,5398.0,5390.7,5507.1,5621.3,5143.5,5074.0,5205.8,4820.6,4604.9,4694.3,4733.4,4582.4,4430.1,4247.5,4131.2,3970.0,
101,"Underground, metro other non interurban rail services",480,462.2,473.0,485.2,512.7,532.3,566.1,546.0,561.0,556.6,487.1,491.0,391.8,45.2,31.9,25.3,22.1,21.4,19.7,16.5,16.6,14.6,15.6,13.2,13.3,13.0,13.7,13.5,13.4,12.7,
102,Taxis and other renting of private cars with driver,1568.2,1683.0,1789.8,1825.7,1877.5,1893.3,1970.4,2045.0,2117.2,2173.4,2236.8,2266.0,2313.6,2342.9,2369.0,2426.3,2496.6,2592.2,2678.2,2755.1,2800.2,2814.5,2813.1,2804.9,2920.0,3039.6,3238.5,3438.6,3495.1,3495.6,
103,Freight transport by road and removal services,13179.3,12683.7,12648.7,13064.3,13586.7,13434.5,13897.9,14298.8,14218.2,14007.0,13763.9,13546.9,13719.5,13746.3,13893.7,13779.7,13807.1,14003.8,12979.1,11191.5,11472.2,11179.5,11035.5,11087.5,11406.1,11822.7,12234.3,12386.2,12520.7,12329.8,
104,Transport via pipeline,236.9,236.9,236.8,237.0,237.3,237.4,237.3,217.7,217.6,217.7,218.9,215.0,217.4,217.4,217.9,210.3,202.8,195.6,188.0,179.6,172.3,164.9,98.8,96.3,87.7,89.6,107.0,113.9,93.1,86.1,
105,Water transport services,19522.1,21256.4,20561.7,19559.0,19810.0,20596.2,23612.7,22787.7,22641.8,20350.6,19567.4,23904.7,25981.4,26870.7,29836.9,29352.0,20566.8,20489.4,20471.3,17604.6,18376.5,19702.5,15999.1,13339.6,16128.6,17198.6,17684.3,11219.0,15202.9,11017.4,
106,Air transport services,20429.1,19370.1,21117.4,22926.4,22910.8,24825.3,26615.0,28211.0,31576.2,34040.0,37556.7,36920.8,36086.1,37333.7,39559.2,42934.0,43640.1,44166.2,43714.3,41537.0,40421.0,42445.6,40965.9,40712.2,40705.9,41206.5,40908.0,43545.4,45741.0,42877.3,
107,Warehousing and support services for transportation,1283.5,1315.1,1286.1,1327.3,1286.7,1287.4,1298.6,1211.8,1205.2,1269.6,1295.0,1236.1,1206.1,1258.2,1327.8,1416.1,1559.8,1601.5,1653.7,1504.1,1524.8,1586.3,1643.9,1667.7,1721.4,1809.8,1858.4,1877.6,1873.3,1842.8,
108,Postal and courier services,1140.8,1170.6,1175.2,1202.8,1250.7,1261.4,1295.5,1306.9,1324.5,1339.3,1335.8,1307.6,1285.6,1308.2,1305.8,1399.1,1324.3,1359.9,1527.1,1454.2,1638.4,1593.5,1595.5,1604.4,1635.6,1698.5,1779.0,1791.6,1806.3,1783.4,
109,Accommodation services,853.9,1003.1,936.5,1000.2,992.6,1030.0,1098.0,977.6,1048.1,1112.3,1132.2,1133.9,967.6,1029.6,997.3,987.5,907.6,871.8,1064.1,856.7,923.4,821.1,927.1,948.4,828.2,892.2,918.4,910.7,927.5,923.5,
110,Food and beverage serving services,1922.2,2226.5,2090.7,2218.7,2213.5,2298.8,2446.1,2203.7,2358.0,2513.7,2589.6,2621.9,2273.3,2447.2,2419.8,2477.6,2335.8,2324.9,2857.7,2383.0,2592.8,2369.7,2654.3,2719.7,2434.7,2610.8,2690.7,2670.7,2699.1,2672.2,
111,Publishing services,157.8,181.2,168.2,176.3,173.8,176.9,185.7,164.6,171.5,176.2,171.9,166.1,139.2,140.4,129.5,120.8,107.0,97.5,104.6,83.0,82.2,71.1,73.6,69.7,61.9,62.9,62.4,59.6,58.8,57.5,
112,"Motion picture, video and television programme production services, sound recording and music publishing",99.7,115.2,110.2,118.4,120.7,127.3,136.3,125.9,135.6,147.5,152.8,154.9,138.8,149.5,148.4,149.9,142.8,143.1,168.4,140.8,149.4,140.2,150.6,147.0,135.5,140.5,144.0,137.5,133.6,132.4,
113,Programming and broadcasting services,21.4,24.4,23.4,25.0,25.4,26.5,27.9,25.5,26.9,28.7,29.0,28.7,24.9,25.7,24.4,23.3,21.0,19.7,21.5,16.6,16.8,14.9,16.2,15.5,13.8,13.8,14.1,13.1,12.9,12.5,
114,Telecommunications services,520,536.4,530.8,542.0,563.3,574.5,559.3,540.7,533.2,547.3,540.0,495.9,456.2,446.7,425.0,424.6,399.2,400.1,420.2,367.7,381.7,367.2,364.2,344.9,335.2,337.8,345.0,328.2,313.1,308.8,
115,"Computer programming, consultancy and related services",258.9,279.2,283.1,300.7,322.0,341.2,348.2,344.3,358.2,384.3,397.1,388.1,363.4,375.4,372.1,376.5,367.7,373.1,396.7,340.7,348.8,336.3,340.5,327.8,315.6,319.0,329.3,318.0,306.4,302.4,
116,Information services,23.9,26.3,26.4,28.8,28.5,29.0,31.1,28.8,30.5,32.6,33.7,34.3,30.4,32.4,32.3,33.1,32.3,32.4,37.8,31.1,33.3,30.6,33.4,33.3,30.6,32.2,31.9,31.4,31.4,30.8,
117,"Financial services, except insurance and pension funding",130.6,140.3,130.2,135.0,125.4,122.9,122.1,100.5,97.4,100.9,97.7,102.3,86.2,91.7,89.9,90.9,87.6,88.2,99.4,83.5,87.9,84.2,88.2,88.3,81.5,81.4,80.0,76.7,75.4,73.4,
118,Insurance & Reinsurance,26.7,30.5,29.1,30.9,31.5,32.9,34.3,31.7,33.7,35.9,36.7,36.5,33.3,35.8,34.7,34.1,32.7,32.5,36.7,30.4,32.5,30.3,32.6,32.4,29.3,30.2,31.0,29.5,30.4,30.1,
119,Pension funding,0.3,0.4,0.4,0.4,0.6,0.9,1.2,1.4,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,
120,Services auxiliary to financial services and insurance services,161.9,181.5,174.7,183.9,189.0,196.8,202.2,188.6,197.3,209.0,211.8,204.6,182.8,190.3,184.2,178.4,167.3,168.8,191.9,163.2,171.0,161.8,174.4,170.1,156.9,161.1,166.2,160.5,156.1,156.1,
121,"Buying and selling of own real estate: renting and operating of own or leased real estate, excluding imputed rent",420.1,487.6,464.7,496.6,508.2,533.6,568.2,526.2,571.1,615.8,634.6,639.9,572.7,622.1,620.1,630.8,606.6,601.2,736.8,622.4,672.5,614.8,689.4,706.0,630.9,672.4,693.5,681.4,688.1,684.8,
122,Real estate activities on a fee or contract basis,214.6,224.9,222.2,229.3,237.5,244.1,243.0,235.1,238.3,251.4,256.7,247.9,230.6,241.4,242.7,251.6,250.1,259.3,300.4,262.2,282.4,269.0,295.3,295.3,275.2,291.5,301.3,295.6,295.8,295.1,
123,Legal activities,274.6,296.0,286.7,298.2,303.3,310.5,307.0,283.7,284.8,295.8,292.8,274.7,238.1,237.8,223.4,216.1,199.1,192.5,211.0,170.3,175.9,161.8,169.2,165.2,148.3,152.4,156.0,149.9,147.8,146.3,
124,"Accounting, bookkeeping and auditing activities: tax consultancy",256,279.4,269.7,281.7,285.2,292.0,293.9,270.1,275.9,287.8,285.4,267.8,230.9,230.4,215.0,205.8,186.5,177.5,192.3,154.5,155.4,142.8,146.9,142.4,127.8,133.6,132.6,128.4,125.8,122.5,
125,Services of head offices; management consulting services,592.3,658.8,634.0,666.3,682.0,706.8,719.1,669.6,695.8,736.6,745.9,717.9,639.7,665.4,651.8,658.6,634.9,641.6,759.1,640.8,687.0,645.9,702.2,699.0,644.2,671.3,689.7,663.4,649.1,641.6,
126,Architectural and engineering services; technical testing and analysis services,530.3,564.8,552.4,573.9,587.3,602.8,600.8,568.5,576.0,604.9,610.2,580.4,525.7,532.8,519.1,512.8,495.9,497.1,542.6,446.2,459.3,458.2,483.9,429.4,409.9,416.1,423.0,403.4,392.7,387.0,
127,Scientific research and development services,470.1,508.6,492.5,293.7,294.1,302.9,319.0,289.4,306.0,320.7,320.9,314.5,272.9,283.9,272.2,260.6,239.5,230.3,270.0,222.5,237.7,213.0,236.5,242.8,218.4,236.3,245.9,247.1,253.5,254.2,
128,Advertising and market research services,130.7,138.7,138.0,143.9,151.3,157.7,156.4,150.4,151.4,159.6,161.7,152.2,137.6,137.4,132.0,130.5,124.5,125.0,132.0,111.0,113.6,111.0,112.8,105.7,101.5,103.2,105.6,98.7,92.1,92.0,
129,"Other professional, scientific and technical services",155.5,170.8,167.6,176.7,185.8,196.1,199.6,189.8,195.8,209.4,214.2,208.2,188.1,194.9,190.3,190.7,184.0,183.5,208.0,171.2,177.6,169.4,176.2,167.7,158.0,159.3,165.5,153.5,147.4,144.9,
130,Veterinary services,58.8,63.0,61.8,64.4,66.5,69.6,70.3,67.9,70.7,73.8,74.2,71.5,65.8,67.9,66.7,68.4,65.9,67.8,71.5,64.7,67.2,65.2,68.3,68.6,66.7,70.1,72.8,73.5,74.7,72.8,
131,Rental and leasing services,1015,1037.0,1043.1,1061.9,1106.8,1119.7,1145.5,1159.0,1174.2,1190.3,1194.3,1170.2,1149.8,1169.1,1170.5,1252.8,1283.3,1306.4,1249.2,1134.3,1127.1,1097.3,1104.2,1087.5,1110.1,1149.7,1202.3,1202.4,1202.7,1182.6,
132,Employment services,286.6,299.9,295.7,305.3,317.8,326.2,324.7,306.2,299.1,304.1,297.6,281.5,247.4,244.7,234.6,231.5,219.6,218.2,233.8,196.4,204.3,196.0,207.0,204.2,196.8,201.8,206.1,205.8,199.3,193.8,
133,"Travel agency, tour operator and other reservation services and related services",121.9,128.9,126.1,129.8,133.4,136.2,137.0,131.6,133.1,137.8,138.9,134.3,125.1,128.8,128.5,131.5,131.5,137.9,148.3,134.2,140.9,142.4,147.1,141.2,141.6,145.3,153.6,148.5,144.6,147.2,
134,Security and investigation services,167,179.6,180.6,189.8,198.0,204.2,211.3,208.8,214.4,222.5,225.1,221.2,210.2,215.4,212.4,211.2,206.6,204.6,210.0,181.8,184.0,174.9,174.0,167.9,162.8,164.8,169.8,164.8,162.7,159.5,
135,Services to buildings and landscape,696.1,758.9,741.3,776.3,783.9,800.6,830.4,789.4,819.1,852.1,863.0,856.8,797.7,833.3,828.9,838.9,830.8,842.6,936.5,842.1,892.3,866.4,912.5,914.0,891.7,926.8,960.7,949.8,950.9,944.5,
136,"Office administrative, office support and other business support services",364.5,396.7,395.5,415.8,441.0,462.9,483.3,478.5,501.6,533.1,552.2,556.8,532.6,569.4,580.6,602.5,605.0,624.8,706.9,619.8,665.4,642.6,685.5,690.9,667.2,704.5,739.0,733.0,734.3,735.9,
137,Public administration; compulsory social security services,4904.9,5175.1,5498.9,5674.4,5208.7,5323.8,5312.4,5053.1,5267.0,5531.8,5484.7,5668.7,5264.9,5517.7,5799.0,4770.9,4323.0,4064.3,4002.9,3647.9,3683.7,3276.3,3460.4,3180.7,2861.4,2905.6,2923.3,2877.4,3019.3,2795.3,
138,Public defence services,6147.8,5183.9,5005.5,5048.3,4859.3,4841.4,4707.9,4577.9,3990.7,3919.9,3822.7,3595.8,3645.0,3740.9,3597.1,3297.7,3853.8,4115.1,3635.1,3303.7,3240.1,3061.3,2822.7,2571.8,2288.2,1921.7,1796.3,1833.6,1878.6,1969.8,
139,Education services,5499.6,5827.4,5970.6,5072.5,4534.3,4266.5,5338.7,5998.3,5276.7,5014.2,4667.9,4322.2,3709.5,3745.5,3721.8,3676.4,3892.0,3558.2,3379.7,3184.8,3406.0,2809.4,3118.6,3050.1,2651.3,2796.6,2747.5,2808.0,2848.9,2565.2,
140,Human health services,4351.1,4557.2,4767.0,4650.3,4741.1,4756.0,5008.6,3852.8,4062.7,3861.7,3541.4,3773.5,3267.2,3090.1,3644.5,4311.2,3551.6,3583.8,4086.0,4102.2,4404.5,3998.3,4290.2,4689.8,4268.9,4062.1,4202.3,3945.3,4223.3,3896.8,
141,Residential care services,900.7,965.8,1072.0,987.0,966.5,877.4,1007.0,1110.6,1051.0,928.8,759.8,803.2,501.2,390.0,413.0,580.4,556.4,550.3,558.8,491.3,518.9,488.8,600.5,634.8,556.2,645.1,678.3,705.4,808.9,734.6,
142,Social work services without accommodation,505,558.8,604.9,489.5,489.8,503.1,616.9,871.5,819.3,748.1,633.1,694.5,496.8,405.0,449.5,635.0,619.4,597.6,596.9,582.7,585.7,525.4,676.1,729.4,627.0,729.5,770.3,802.0,920.2,837.8,
143,"Creative, arts and entertainment services",276.5,288.5,258.8,289.6,312.2,308.6,321.7,274.3,300.0,245.6,235.1,290.1,229.9,225.8,221.0,228.3,168.0,155.9,171.9,159.0,141.2,130.8,132.6,128.0,120.4,122.4,124.2,119.2,117.4,117.1,
144,"Library, archive, museum and other cultural services",311.6,305.5,241.0,260.3,242.1,203.8,212.4,173.6,172.2,118.2,109.4,104.7,84.6,81.7,79.3,91.9,67.2,60.1,65.9,70.3,53.6,49.6,50.6,49.5,45.9,47.8,49.2,47.6,48.8,48.5,
145,Gambling and betting services,388.5,394.7,326.9,349.7,324.0,285.9,294.3,252.7,263.8,223.3,218.9,208.4,170.6,168.5,158.2,164.1,130.7,119.2,129.3,115.4,101.9,91.9,94.0,91.6,82.1,84.6,85.0,82.7,82.5,80.5,
146,Sporting services and amusement and recreation services,1348.3,1398.1,1204.3,1291.6,1255.1,1176.9,1260.5,1102.4,1169.5,1049.1,1045.0,1031.8,902.5,930.0,913.2,960.1,842.3,807.0,913.3,850.6,805.0,748.0,797.6,802.9,743.6,782.3,802.6,801.4,808.5,803.8,
147,Services furnished by membership organisations,412.3,464.5,453.1,482.8,465.5,476.3,511.5,456.8,473.0,476.4,496.8,471.8,390.8,396.4,372.4,391.5,312.3,292.7,345.4,275.1,291.6,256.0,282.9,288.0,251.0,268.9,271.6,267.9,275.8,269.6,
148,Repair services of computers and personal and household goods,89.1,90.3,88.7,90.6,93.9,95.2,95.9,94.3,93.4,95.0,94.2,89.2,84.2,83.2,80.2,77.2,74.3,71.9,71.1,72.5,66.9,63.9,63.4,62.7,62.3,64.8,67.8,66.6,67.9,68.1,
149,Other personal services,554.9,607.0,588.2,611.5,625.4,643.7,670.9,632.2,661.5,692.6,700.7,695.0,635.6,668.3,658.0,671.6,693.1,635.1,748.0,639.4,640.4,594.9,633.5,638.8,595.4,625.8,648.2,639.5,639.1,635.2,
150,Services of households as employers of domestic personnel,58.1,58.5,59.9,61.2,64.5,66.6,64.9,65.6,62.3,63.6,76.0,71.4,71.6,71.5,71.3,73.9,63.1,52.6,51.1,40.8,54.5,53.6,51.5,48.0,51.1,48.2,55.8,50.5,50.7,46.8,
151,Consumer expenditure - not travel,81559.8,90576.2,87762.7,92338.8,88227.4,83949.8,95997.7,88940.0,91365.6,91648.1,92275.9,95051.4,91599.1,92555.8,94283.4,90063.1,87594.6,84046.4,86449.8,83445.1,94234.2,75988.7,83751.3,85815.1,72781.1,76267.0,78166.7,76002.4,80419.7,79596.4,
152,Consumer expenditure - travel,60756.8,60389.4,61379.9,61819.7,61034.2,60210.7,63760.9,64693.5,64485.6,65529.6,65313.3,66499.1,68872.3,68271.7,69292.6,69801.9,69802.3,70239.3,68777.4,67836.4,66241.9,65400.8,65776.5,66124.1,66433.7,67065.5,67739.0,68350.9,68394.7,68091.5,
