,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,Financial and insurance activities,319.4,352.7,334.3,350.2,346.6,353.5,359.8,322.2,329.4,346.6,347.0,344.2,302.9,318.6,309.7,304.2,288.5,290.3,329.0,277.8,292.2,277.1,296.0,291.7,268.5,273.6,278.0,267.6,262.7,260.3,250.70000000000002
12,Real estate activities,634.7,712.6,686.9,725.9,745.7,777.7,811.1,761.3,809.3,867.2,891.3,887.8,803.3,863.5,862.8,882.4,856.8,860.5,1037.2,884.6,954.8,883.8,984.7,1001.4,906.1,963.9,994.8,977.0,983.9,979.9,948.5000000000001
13,"Professional, scientific and technical activities",2468.4,2680.2,2602.8,2498.9,2555.4,2638.5,2666.1,2489.4,2556.3,2688.6,2705.2,2587.0,2298.8,2350.5,2270.7,2243.5,2130.4,2115.3,2386.4,1981.2,2073.8,1967.3,2095.9,2020.7,1874.8,1942.3,1991.2,1917.9,1883.1,1861.3,1759.6000000000001
14,Administrative and support service activities,2651.2,2801.0,2782.2,2878.9,2980.9,3049.9,3132.1,3073.4,3141.5,3240.0,3271.3,3220.9,3062.6,3160.6,3155.5,3268.6,3276.7,3334.6,3484.8,3108.6,3214.0,3119.6,3230.3,3205.6,3170.2,3292.9,3431.4,3404.3,3394.4,3363.5,3122.7999999999997
15,Public administration and defence; compulsory social security,11052.7,10359.0,10504.4,10722.7,10068.0,10165.2,10020.3,9630.9,9257.7,9451.7,9307.5,9264.6,8909.8,9258.7,9396.0,8068.6,8176.8,8179.4,7637.9,6951.6,6923.8,6337.5,6283.1,5752.5,5149.5,4827.3,4719.6,4711.0,4898.0,4765.1,4668.200000000001
16,Education,5499.6,5827.4,5970.6,5072.5,4534.3,4266.5,5338.7,5998.3,5276.7,5014.2,4667.9,4322.2,3709.5,3745.5,3721.8,3676.4,3892.0,3558.2,3379.7,3184.8,3406.0,2809.4,3118.6,3050.1,2651.3,2796.6,2747.5,2808.0,2848.9,2565.2,2518.7
17,Human health and social work activities,5756.9,6081.8,6443.9,6126.7,6197.4,6136.5,6632.5,5834.9,5932.9,5538.6,4934.3,5271.2,4265.2,3885.1,4507.0,5526.6,4727.3,4731.7,5241.6,5176.2,5509.0,5012.5,5566.8,6054.0,5452.0,5436.8,5650.8,5452.7,5952.4,5469.2,5381.700000000001
18,"Arts, entertainment and recreation",2324.9,2386.7,2031.1,2191.2,2133.4,1975.2,2088.9,1803.1,1905.6,1636.3,1608.4,1635.0,1387.6,1406.1,1371.8,1444.4,1208.3,1142.2,1280.4,1195.2,1101.7,1020.2,1074.9,1072.1,992.1,1037.1,1061.0,1050.9,1057.2,1049.9,976.3
19,Other service activities,1056.4,1161.8,1130.0,1184.9,1184.8,1215.1,1278.3,1183.3,1227.9,1264.0,1291.7,1256.0,1110.6,1147.9,1110.6,1140.2,1079.6,999.6,1164.5,987.0,998.8,914.9,979.8,989.5,908.7,959.5,987.5,974.0,982.8,972.9,930.9000000000001
20,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,58.1,58.5,59.9,61.2,64.5,66.6,64.9,65.6,62.3,63.6,76.0,71.4,71.6,71.5,71.3,73.9,63.1,52.6,51.1,40.8,54.5,53.6,51.5,48.0,51.1,48.2,55.8,50.5,50.7,46.8,42.60000000000001
